,runtime,Mean,Std,Nent,ChanName,Chan,ChipSN,io_group,io_channel
53,1692728471,18.73,0.87,1207,ch53,53,3H0003,1,5
54,1692728471,17.95,0.85,1225,ch54,54,3H0003,1,5
55,1692728471,19.54,0.86,1225,ch55,55,3H0003,1,5
56,1692728471,18.18,2.49,1203,ch56,56,3H0003,1,5
57,1692728471,20.85,0.93,1213,ch57,57,3H0003,1,5
58,1692728471,16.07,0.86,1217,ch58,58,3H0003,1,5
59,1692728471,17.99,0.88,1224,ch59,59,3H0003,1,5
60,1692728471,13.53,0.85,1843,ch60,60,3H0003,1,5
61,1692728471,15.96,0.91,1313,ch61,61,3H0003,1,5
62,1692728471,17.16,0.87,1219,ch62,62,3H0003,1,5
63,1692728471,20.07,0.82,1119,ch63,63,3H0003,1,5
0,1692728508,18.7,0.87,1229,ch00,0,3H0004,1,5
1,1692728508,18.16,0.94,1231,ch01,1,3H0004,1,5
2,1692728508,19.02,0.87,1160,ch02,2,3H0004,1,5
3,1692728508,20.96,0.89,1205,ch03,3,3H0004,1,5
4,1692728508,19.23,0.84,1210,ch04,4,3H0004,1,5
5,1692728508,18.66,0.86,1212,ch05,5,3H0004,1,5
6,1692728508,16.97,0.89,1206,ch06,6,3H0004,1,5
7,1692728508,15.65,1.56,1211,ch07,7,3H0004,1,5
8,1692728508,16.71,0.87,1528,ch08,8,3H0004,1,5
9,1692728508,18.92,0.86,1262,ch09,9,3H0004,1,5
10,1692728508,20.09,0.85,1215,ch10,10,3H0004,1,5
11,1692728508,19.91,0.8,1216,ch11,11,3H0004,1,5
12,1692728508,16.87,0.89,1196,ch12,12,3H0004,1,5
13,1692728508,17.21,0.84,1212,ch13,13,3H0004,1,5
14,1692728508,15.26,0.89,1214,ch14,14,3H0004,1,5
15,1692728508,19.39,0.81,1225,ch15,15,3H0004,1,5
16,1692728508,15.7,0.86,1217,ch16,16,3H0004,1,5
17,1692728508,20.16,0.82,1205,ch17,17,3H0004,1,5
18,1692728508,21.07,0.81,1209,ch18,18,3H0004,1,5
19,1692728508,16.18,0.87,1210,ch19,19,3H0004,1,5
20,1692728508,18.18,0.86,1204,ch20,20,3H0004,1,5
21,1692728508,17.04,0.86,1584,ch21,21,3H0004,1,5
22,1692728508,16.09,0.87,1265,ch22,22,3H0004,1,5
23,1692728508,18.63,0.88,1211,ch23,23,3H0004,1,5
24,1692728508,19.61,0.9,1219,ch24,24,3H0004,1,5
25,1692728508,19.03,0.88,1207,ch25,25,3H0004,1,5
26,1692728508,20.05,0.84,1212,ch26,26,3H0004,1,5
27,1692728508,16.48,0.84,1208,ch27,27,3H0004,1,5
28,1692728508,16.36,0.85,1213,ch28,28,3H0004,1,5
29,1692728508,15.94,0.89,1218,ch29,29,3H0004,1,5
30,1692728508,19.35,0.83,1214,ch30,30,3H0004,1,5
31,1692728508,20.27,0.9,1218,ch31,31,3H0004,1,5
32,1692728508,17.22,0.84,1219,ch32,32,3H0004,1,5
